"T","Kappa","Y","alpha","eps1","eps2","rho1","rho2","lam"
"294",287.5,1,1,0.4,0.64,0.54,0.009,0.87,0.771091664220073
"295",288,0,1,0.4,0.64,0.54,0.009,0.87,0
"296",288,0.05,1,0.4,0.64,0.54,0.009,0.87,0
"297",288,0.1,1,0.4,0.64,0.54,0.009,0.87,0
"298",288,0.15,1,0.4,0.64,0.54,0.009,0.87,0.0150897180649914
"299",288,0.2,1,0.4,0.64,0.54,0.009,0.87,0.0150519709857667
"300",288,0.25,1,0.4,0.64,0.54,0.009,0.87,0.216585638441687
"301",288,0.3,1,0.4,0.64,0.54,0.009,0.87,0.329344496391337
"302",288,0.35,1,0.4,0.64,0.54,0.009,0.87,0.358613520179565
"303",288,0.4,1,0.4,0.64,0.54,0.009,0.87,0.460632515254887
"304",288,0.45,1,0.4,0.64,0.54,0.009,0.87,0.535978850138508
"305",288,0.5,1,0.4,0.64,0.54,0.009,0.87,0.563511727762069
"306",288,0.55,1,0.4,0.64,0.54,0.009,0.87,0.663340967185376
"307",288,0.6,1,0.4,0.64,0.54,0.009,0.87,1.10728606531062
"308",288,0.65,1,0.4,0.64,0.54,0.009,0.87,1.14220239778246
"309",288,0.7,1,0.4,0.64,0.54,0.009,0.87,1.15577760798715
"310",288,0.75,1,0.4,0.64,0.54,0.009,0.87,1.15591089379866
"311",288,0.8,1,0.4,0.64,0.54,0.009,0.87,1.14071672811356
"312",288,0.85,1,0.4,0.64,0.54,0.009,0.87,1.1123341906022
"313",288,0.9,1,0.4,0.64,0.54,0.009,0.87,1.06738233744419
"314",288,0.95,1,0.4,0.64,0.54,0.009,0.87,1.00318180399387
"315",288,1,1,0.4,0.64,0.54,0.009,0.87,0.606011849195658
"316",288.5,0,1,0.4,0.64,0.54,0.009,0.87,0
"317",288.5,0.05,1,0.4,0.64,0.54,0.009,0.87,0
"318",288.5,0.1,1,0.4,0.64,0.54,0.009,0.87,0
"319",288.5,0.15,1,0.4,0.64,0.54,0.009,0.87,0.0131215197407436
"320",288.5,0.2,1,0.4,0.64,0.54,0.009,0.87,0.0130934601667167
"321",288.5,0.25,1,0.4,0.64,0.54,0.009,0.87,0.213388293952948
"322",288.5,0.3,1,0.4,0.64,0.54,0.009,0.87,0.262050740711449
"323",288.5,0.35,1,0.4,0.64,0.54,0.009,0.87,0.370150391660184
"324",288.5,0.4,1,0.4,0.64,0.54,0.009,0.87,0.428945445624759
"325",288.5,0.45,1,0.4,0.64,0.54,0.009,0.87,0.478243039834304
"326",288.5,0.5,1,0.4,0.64,0.54,0.009,0.87,0.534447949465451
"327",288.5,0.55,1,0.4,0.64,0.54,0.009,0.87,0.617535460651255
"328",288.5,0.6,1,0.4,0.64,0.54,0.009,0.87,1.02695060000661
"329",288.5,0.65,1,0.4,0.64,0.54,0.009,0.87,1.12092841217939
"330",288.5,0.7,1,0.4,0.64,0.54,0.009,0.87,1.13388059820389
"331",288.5,0.75,1,0.4,0.64,0.54,0.009,0.87,1.13842581833306
"332",288.5,0.8,1,0.4,0.64,0.54,0.009,0.87,1.12609474133055
"333",288.5,0.85,1,0.4,0.64,0.54,0.009,0.87,1.09872536813457
"334",288.5,0.9,1,0.4,0.64,0.54,0.009,0.87,1.04781319109533
"335",288.5,0.95,1,0.4,0.64,0.54,0.009,0.87,0.983969188506226
"336",288.5,1,1,0.4,0.64,0.54,0.009,0.87,0.714826484090025
"337",289,0,1,0.4,0.64,0.54,0.009,0.87,0
"338",289,0.05,1,0.4,0.64,0.54,0.009,0.87,0
"339",289,0.1,1,0.4,0.64,0.54,0.009,0.87,0
"340",289,0.15,1,0.4,0.64,0.54,0.009,0.87,0.0113627374988481
"341",289,0.2,1,0.4,0.64,0.54,0.009,0.87,0.011342555897557
"342",289,0.25,1,0.4,0.64,0.54,0.009,0.87,0.209062976993881
"343",289,0.3,1,0.4,0.64,0.54,0.009,0.87,0.26669643808124
"344",289,0.35,1,0.4,0.64,0.54,0.009,0.87,0.283428938343894
